college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi-Aduthurai, Thiruvidaimaruthur, Thanjavur-612102.",THANJAVUR,SELF FINANCING COLLEGES TIER 3,AD,Artificial Intelligence and Data Science,87.5,,,,,,,1,0,0,0,0,0,0
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi-Aduthurai, Thiruvidaimaruthur, Thanjavur-612102.",THANJAVUR,SELF FINANCING COLLEGES TIER 3,CE,CIVIL  ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi-Aduthurai, Thiruvidaimaruthur, Thanjavur-612102.",THANJAVUR,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,111.5,,,,,,,1,0,0,0,0,0,0
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi-Aduthurai, Thiruvidaimaruthur, Thanjavur-612102.",THANJAVUR,SELF FINANCING COLLEGES TIER 3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi-Aduthurai, Thiruvidaimaruthur, Thanjavur-612102.",THANJAVUR,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,123.0,,,,,,,1,0,0,0,0,0,0
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi-Aduthurai, Thiruvidaimaruthur, Thanjavur-612102.",THANJAVUR,SELF FINANCING COLLEGES TIER 3,IT,INFORMATION TECHNOLOGY,87.5,,,,,,,1,0,0,0,0,0,0
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi-Aduthurai, Thiruvidaimaruthur, Thanjavur-612102.",THANJAVUR,SELF FINANCING COLLEGES TIER 3,ME,MECHANICAL ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi-Aduthurai, Thiruvidaimaruthur, Thanjavur-612102.",THANJAVUR,SELF FINANCING COLLEGES TIER 3,SC,Computer Science and Engineering (Cyber Security),90.5,,,,,,,1,0,0,0,0,0,0
3857,"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.",ARIYALUR,SELF FINANCING COLLEGES TIER 3,AG,AGRICULTURAL ENGINEERING,86.5,,,,,,,1,0,0,0,0,0,0
3857,"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.",ARIYALUR,SELF FINANCING COLLEGES TIER 3,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),98.5,84.5,,87.0,,,,0,1,0,1,0,0,0
3857,"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.",ARIYALUR,SELF FINANCING COLLEGES TIER 3,BM,BIO MEDICAL ENGINEERING,115.5,99.5,,88.0,95.0,,,0,1,0,1,1,0,0
3857,"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.",ARIYALUR,SELF FINANCING COLLEGES TIER 3,CE,CIVIL  ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3857,"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.",ARIYALUR,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,122.5,86.5,,87.0,83.0,,,0,1,0,1,1,0,0
3857,"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.",ARIYALUR,SELF FINANCING COLLEGES TIER 3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,111.0,,,,96.5,,,0,0,0,0,1,0,0
3857,"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.",ARIYALUR,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,88.0,,,,,,,1,0,0,0,0,0,0
3857,"Meenakshi Ramaswamy Engineering College, M.R.Kalvi Nagar, Thathanur Post, Udayarpalayam Taluk, Ariyalur District-621804.",ARIYALUR,SELF FINANCING COLLEGES TIER 3,ME,MECHANICAL ENGINEERING,91.0,,,,,,,1,0,0,0,0,0,0
3860,"St.Anne's College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti Taluk, Cuddalore District-607110.",CUDDALORE,SELF FINANCING COLLEGES TIER 3,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),87.5,,,83.5,,,,0,0,0,1,0,0,0
3860,"St.Anne's College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti Taluk, Cuddalore District-607110.",CUDDALORE,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,96.5,82.0,,88.5,84.5,,,0,1,0,1,1,0,0
3860,"St.Anne's College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti Taluk, Cuddalore District-607110.",CUDDALORE,SELF FINANCING COLLEGES TIER 3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,83.5,,,,,,,1,0,0,0,0,0,0
3860,"St.Anne's College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti Taluk, Cuddalore District-607110.",CUDDALORE,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,84.0,,,,,,,1,0,0,0,0,0,0
3860,"St.Anne's College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti Taluk, Cuddalore District-607110.",CUDDALORE,SELF FINANCING COLLEGES TIER 3,ME,MECHANICAL ENGINEERING,82.0,,,,,,,1,0,0,0,0,0,0
3905,"Kings College of Engineering (Autonomous), Punalkulam Village, Gandarvakkottai Taluk, Pudukkottai District-613303.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,AD,Artificial Intelligence and Data Science,145.5,130.0,122.5,117.0,89.0,,,0,0,0,0,1,0,0
3905,"Kings College of Engineering (Autonomous), Punalkulam Village, Gandarvakkottai Taluk, Pudukkottai District-613303.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CE,CIVIL  ENGINEERING,92.5,85.0,,,91.5,,,0,1,0,0,1,0,0
3905,"Kings College of Engineering (Autonomous), Punalkulam Village, Gandarvakkottai Taluk, Pudukkottai District-613303.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,143.0,125.0,127.5,110.0,96.0,,,0,0,0,0,1,0,0
3905,"Kings College of Engineering (Autonomous), Punalkulam Village, Gandarvakkottai Taluk, Pudukkottai District-613303.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,116.0,81.5,107.5,86.5,90.0,,,0,1,1,1,1,0,0
